"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Amanita xanthocephala","Amanita xanthocephala (Berk.) D.A.Reid & R.N.Hilton","yes","yes",3999,286,NA,"Agaricus pulchellus, Agaricus xanthocephalus, Amanita austropulchella, Amanita pulchella, Amanita xanthocephala, Amanitopsis macalpineana, Amanitopsis pulchella, Vaginata pulchella, Volvaria xanthocephala","yes","yes"
"Amanitopsis vaginata","Amanitopsis vaginata (Bull.) Roze","yes",NA,0,0,NA,"Amanitopsis vaginata",NA,NA
"Amarrendia lignicolor","Amarrendia lignicolor (G.W.Beaton, Pegler & T.W.K.Young) Bougher & T.Lebel","yes","yes",2,61,NA,"Alpova lignicolor, Amarrendia lignicolor",NA,NA
"Amarrendia nemoribus","Amarrendia nemoribus Bougher & T.Lebel","yes","yes",0,17,NA,"Amarrendia nemoribus",NA,NA
"Amarrendia peridiocrystalia","Amarrendia peridiocrystalia Bougher & T.Lebel","yes","yes",0,4,NA,"Amarrendia peridiocrystalia",NA,"yes"
"Amphinema byssoides","Amphinema byssoides (Pers.) J.Erikss.","yes","yes",0,24,NA,"Amphinema byssoides, Peniophora byssoides, Thelephora byssoides",NA,"yes"
"Amylascus herbertianus","Amylascus herbertianus (J.W.Cribb) Trappe","yes","yes",0,4,"yes","Amylascus herbertianus, Hydnobolites herbertianus",NA,"yes"
"Amylascus tasmanicus","Amylascus tasmanicus (Rodway) Trappe","yes","yes",0,7,NA,"Amylascus tasmanicus, Terfezia tasmanica",NA,"yes"
"Andebbia pachythrix","Andebbia pachythrix (Cooke & Massee) Trappe, Castellano & Amar.","yes","yes",0,41,NA,"Andebbia pachythrix, Diploderma pachythrix, Mesophellia pachythrix",NA,NA
"Arcangeliella beccarii","Arcangeliella beccarii",NA,"yes",0,1,NA,"Arcangeliella beccarii",NA,NA
"Arcangeliella brunneola","Arcangeliella brunneola",NA,"yes",0,1,NA,"Arcangeliella brunneola",NA,NA
"Arcangeliella claridgei","Arcangeliella claridgei (Trappe) Trappe & Claridge","yes","yes",0,208,"yes","Arcangeliella claridgei, Zelleromyces claridgei",NA,"yes"
"Arcangeliella corkii","Arcangeliella corkii (Trappe & Claridge) Trappe & Claridge","yes","yes",0,106,NA,"Arcangeliella corkii, Zelleromyces corkii",NA,"yes"
"Arcangeliella crichtonii","Arcangeliella crichtonii (G.W.Beaton, Pegler & T.W.K.Young) T.Lebel & Castellano","yes",NA,0,0,NA,"Arcangeliella crichtonii, Cystangium crichtonii",NA,NA
"Arcangeliella daucina","Arcangeliella daucina",NA,"yes",38,222,NA,"Arcangeliella daucina",NA,NA
