"dark_taxa_hotspot_index","CHELSA_BIO_Annual_Mean_Temperature","CHELSA_BIO_Annual_Precipitation","SG_Soil_pH_H2O_005cm","SG_SOC_Content_005cm","GRIP4_DistanceToAllRoads","GHS_Population_Density","ecm_sampleintensity_5degrees","veg_prop_ECM_Jinsu","host_family_richness","Pinaceae","Fabaceae","Achatocarpaceae","Asteraceae","Myrtaceae","Rosaceae","Juglandaceae","Casuarinaceae","Betulaceae","Dipterocarpaceae","Goodeniaceae","Ericaceae","Asteropeiaceae","Rhamnaceae","Fagaceae","Cistaceae","Polygonaceae","Malvaceae","Sarcolaenaceae","Gnetaceae","Nyctaginaceae","Nothofagaceae","Salicaceae","Ticodendraceae","Phyllanthaceae"
0.191794976592064,207.601119995117,4906.94580078125,51.1122398376465,100.76383972168,1683.07409667969,0,0.00116456649266183,12,10,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
0.00455284118652344,154.483276367188,263.365081787109,78.7214508056641,6.38824844360352,498.322967529297,0,0.00293130474165082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0727016925811768,249.5,3132.63671875,42.9742050170898,58.8310699462891,61371.3125,0,0.0202753134071827,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0.172221571207047,24.5000457763672,774.496276855469,56.2891693115234,130.103988647461,1321.10778808594,0,0.000268744974164292,70,8,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.17713551223278,224.516479492188,1671.87133789062,51.2410087585449,19.4992046356201,1624.85412597656,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108879305422306,268.433135986328,1122.59350585938,65.7361907958984,30.3187694549561,44234.63671875,0,0.00206037797033787,65,5,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0207785367965698,290.499725341797,682.120178222656,64.1142654418945,7.82602787017822,2033.73486328125,0,0.00139680923894048,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0603572092950344,-65.5,406.644836425781,52.761402130127,275.351837158203,102041.2265625,0,0,87,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00730049749836326,94.4830627441406,335.036804199219,75.750732421875,16.2669620513916,668.368957519531,0,0.0226641576737165,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0.0179476458579302,146.516418457031,674.784912109375,72.9487533569336,12.3270893096924,1356.74255371094,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0340034998953342,237.5,972.673889160156,63.854621887207,8.98089218139648,1325.22058105469,0,0.00109819159843028,0,6,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0263494588434696,288.516448974609,676.044372558594,69.2519912719727,9.73689842224121,2409.59057617188,0,0.00395153975114226,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0481602549552917,15.5,769.453369140625,46.34375,175.772491455078,13064.35546875,0,0.0307265073060989,88,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
0.0125497383996844,225.483184814453,279.270233154297,73.6087493896484,3.9390013217926,961.474365234375,0,0.0160699505358934,40,7,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.279142558574677,146.635055541992,904.407897949219,59.2813301086426,34.2283401489258,1783.60021972656,0,0.440512806177139,56,11,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
0.0824267715215683,-111.50008392334,554.915893554688,53.2784767150879,188.094100952148,27362.767578125,0,0,70,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00948005821555853,71.4668426513672,370.326934814453,72.5246276855469,21.8726940155029,11204.9658203125,0.00116060255095363,0,1,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.122802399098873,243.500045776367,1698.35168457031,51.2148284912109,26.8511428833008,16287.953125,0,0.00176177255343646,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0531710647046566,240.51692199707,3699.11059570312,58.9516410827637,38.9661064147949,129.713745117188,0,0.00295619457028806,25,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0761350989341736,-106.5,507.114715576172,50.964973449707,163.686965942383,52084.421875,0,0,66,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0856871977448463,258.449493408203,2048.74096679688,44.1241760253906,50.1104965209961,6133.83837890625,0,0.00355340563692153,20,9,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0.00502797262743115,217.499725341797,365.653503417969,77.8880386352539,3.00052499771118,2411.27172851562,0,0.00415061647072434,0,11,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
